BIRC	date	luna	age	sex	Ring_Reward_Anti				Ring_Reward_Vgs			Chuck_Ring_Reward			
61214163220	12/14/2006	10385	18	f	5	6	7	8							
61221161123	12/21/2006	10181x2	13	m								6	7	8	9
70106093303	1/6/2007	10329	16	m	5	6	7	8	9	10	11				
70106105718	1/6/2007	10336	16	f	5	6	7	8	9	11	12				
70106120903	1/6/2007	10210	15	f	6	7	8	9	10	11	12				
70106145634	1/6/2007	10138x2	17	f	5	6	7	8	9	10	11				
70111161322	1/11/2007	10358	21	m	6	7	8	9	10	11	12				
70113145606	1/13/2007	10370	10	f	6	7	8	9	10	11	12				
70117164037	1/17/2007	10315	18	m	5	7	9	11	6	8	10				
70118153605	1/18/2007	10359	20	f	6	8	10	12	7	9	11				
70127144144	1/17/2007	10192x2	16	m								7	8	9	10
70131164507	1/31/2007	10133x2	9	f	5	7	9	11	6	8	10				
70217095319	2/17/2007	10422	22	f								6	7	8	9
70217111412	2/17/2007	10421	22	f								6	7	8	9
70512160408	5/12/2007	10361	11	m								6	7	8	9
70518161852	5/18/2007	10253	14	f								9	10	11	12
70521182739	5/21/2007	10425	17	m								8	9		
70523112623	5/23/2007	10297	26	m	10	11	12	13	6	7	8				
70523144606	5/23/2007	10323	27	f	9	10	11	12	6	7	8				
70523170648	5/23/2007	10252x2	12	m								10			
70523180155	5/23/2007	10428	26	m	9	10	11	12	6	7	8				
70531161128	5/31/2007	10430	25	f	9	10	11	12	6	7	8				
70605151715	6/5/2007	10174x8	19	f	9	10	11	12	6	7	8				
70605163944	6/5/2007	10431	22	f	9	10	11	12	6	7	8				
70620165003	6/20/2007	10437	20	f	11	12	13	14	7	8	9				
70621161701	6/21/2007	10435	19	m	9	10	11	12	6	7	8				
70728160251	7/28/2007	10311	21	f	9	10	11	12	6	7	8				
70809161228	8/9/2007	10452	22	m	9	10	11	12	6	7	8				
EBS Controls															
61221161123	12/21/2006	10181x2	13	m								6	7	8	9
70106093303	1/6/2007	10329	16	m	5	6	7	8	9	10	11				
70106120903	1/6/2007	10210	15	f	6	7	8	9	10	11	12				
70106145634	1/6/2007	10138x2	17	f	5	6	7	8	9	10	11				
70113145606	1/13/2007	10370	10	f	6	7	8	9	10	11	12				
70127144144	1/27/2007	10192x2	16	m								7	8	9	10
70131164507	1/31/2007	10133x2	9	f	5	7	9	11	6	8	10				
70512160408	5/12/2007	10361	11	m								6	7	8	9
70515124401	5/15/2007	10153	11	f	9	10	11	12	6	7	8				
70518161152	5/18/2007	10253	14	f								9	10	11	12
70524162908	5/24/2007	10248x2	16	m	10	11	12	13	6	7NR	8				
70524174158	5/24/2007	10408	13	m	9	10	11	12	6	7	8				
70608162241	6/8/2007	10232	10	m	10	11	12	13	6	7	8				
70629155623	6/29/2007	10230	13	f	9	11	12	13	6	7	8				
70714161340	7/17/2007	10195	13	m	9	10	11	12	6	7	8				
70720162831	7/20/2007	10215	15	m	9	10	11	12	6	7	8				
70725170028	7/25/2007	10156x3	14	m	9	10	11	12	6	7	8				
70728145940	7/28/2007	10136	16	f	9	10	11	12	6	7	8				
70807154309	8/7/2007	10434	8	m	9	10	11	12	6	7	8				
71214162940	12/14/2007	10218	10	f	9	10	11	12	6	7	8				
80104154413	1/4/2008	10483	15	m	9	10	11	12	6	7	8				
80324165236	3/24/2008	10463	9	f	9	10	11		6	7	8				
